method_id,root_id,condition_id,condition_family,primary_recovery_axis,window_index,window_start,window_end,nominal_value,disturbed_value,directed_gap,within_tolerance
dqn,t527-final-r03,action-remap-swap-right-down,action-remap,True,6,193,224,-0.04843750000000002,-0.128125,0.07968749999999997,True
dqn,t527-final-r03,action-remap-swap-right-down,action-remap,True,7,225,256,-0.04843750000000002,-0.1375,0.08906249999999999,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.06562500000000002,-0.07031250000000004,0.004687500000000025,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,1,33,64,-0.05781250000000002,-0.07031250000000001,0.012499999999999997,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,2,65,96,-0.06562500000000002,-0.04843750000000002,-0.017187499999999994,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.05078125000000002,-0.06796875000000002,0.0171875,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,4,129,160,-0.04843750000000002,-0.04843750000000002,0.0,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.06562500000000002,-0.07265625000000003,0.007031250000000017,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.04843750000000002,-0.05078125000000002,0.0023437499999999986,True
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,0,1,32,-0.11171875000000006,-0.10468750000000004,-0.007031250000000017,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,1,33,64,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,2,65,96,-0.10234375000000004,-0.10000000000000005,-0.0023437499999999917,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,3,97,128,-0.10468750000000004,-0.10468750000000004,0.0,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,4,129,160,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,5,161,192,-0.10234375000000004,-0.10468750000000004,0.0023437500000000056,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,6,193,224,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r04,action-failure-0.15,action-failure,False,7,225,256,-0.10937500000000006,-0.11171875000000006,0.0023437500000000056,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.11171875000000006,-0.16328124999999996,0.0515624999999999,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.10000000000000005,-0.13046875000000002,0.030468749999999975,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.10234375000000004,-0.165625,0.06328124999999996,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.10468750000000004,-0.14218750000000002,0.03749999999999998,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,4,129,160,-0.10000000000000005,-0.21718749999999995,0.1171874999999999,False
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.10234375000000004,-0.22890624999999998,0.12656249999999994,False
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,6,193,224,-0.10000000000000005,-0.18437499999999998,0.08437499999999994,True
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,7,225,256,-0.10937500000000006,-0.17031249999999992,0.06093749999999987,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,0,1,32,-0.11171875000000006,-0.13984375000000004,0.028124999999999983,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,1,33,64,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,2,65,96,-0.10234375000000004,-0.14687499999999995,0.04453124999999991,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,3,97,128,-0.10468750000000004,-0.11875000000000005,0.014062500000000006,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,4,129,160,-0.10000000000000005,-0.12109375000000003,0.02109374999999998,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,5,161,192,-0.10234375000000004,-0.11875000000000002,0.016406249999999983,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,6,193,224,-0.10000000000000005,-0.10937500000000006,0.009375000000000008,True
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,7,225,256,-0.10937500000000006,-0.12812500000000004,0.01874999999999999,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.11171875000000006,-0.10937500000000006,-0.0023437500000000056,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,1,33,64,-0.10000000000000005,-0.10000000000000005,0.0,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,2,65,96,-0.10234375000000004,-0.10234375000000004,0.0,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.10468750000000004,-0.08984375000000006,-0.014843749999999989,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,4,129,160,-0.10000000000000005,-0.10234375000000004,0.0023437499999999917,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.10234375000000004,-0.11171875000000006,0.009375000000000022,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.10000000000000005,-0.10468750000000004,0.004687499999999997,True
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.10937500000000006,-0.11406250000000004,0.004687499999999983,True
dqn,t527-final-r05,action-failure-0.15,action-failure,False,0,1,32,-0.06562500000000002,-0.08281250000000004,0.017187500000000022,True
