method_id,root_id,condition_id,planned_layout_count,observed_layout_count,missing_layout_ids,complete_layout_block,included_in_primary_summary,frozen_loss,adaptive_loss,adaptation_benefit
dyna_q_plus,t527-final-r09,action-failure-0.15,2,2,[],True,True,3.624999999999975,3.94999999999997,-0.32499999999999485
dyna_q_plus,t527-final-r09,action-remap-cycle-clockwise,2,2,[],True,True,53.05000000000005,27.77500000000013,25.274999999999917
dyna_q_plus,t527-final-r09,action-remap-swap-right-down,2,2,[],True,True,34.00000000000017,30.125000000000153,3.8750000000000213
dyna_q_plus,t527-final-r09,observation-corruption-0.05,2,2,[],True,True,0.3249999999999962,1.4749999999999925,-1.1499999999999964
dyna_q_plus,t527-final-r10,action-failure-0.15,2,2,[],True,True,3.4499999999999735,3.049999999999976,0.3999999999999977
dyna_q_plus,t527-final-r10,action-remap-cycle-clockwise,2,2,[],True,True,52.325000000000045,25.82500000000016,26.49999999999989
dyna_q_plus,t527-final-r10,action-remap-swap-right-down,2,2,[],True,True,33.95000000000013,30.875000000000153,3.074999999999978
dyna_q_plus,t527-final-r10,observation-corruption-0.05,2,2,[],True,True,0.699999999999986,0.5249999999999884,0.1749999999999976
dyna_q_plus,t527-final-r11,action-failure-0.15,2,2,[],True,True,2.824999999999961,2.6749999999999687,0.14999999999999258
dyna_q_plus,t527-final-r11,action-remap-cycle-clockwise,2,2,[],True,True,54.52500000000002,28.07500000000013,26.44999999999989
dyna_q_plus,t527-final-r11,action-remap-swap-right-down,2,2,[],True,True,39.15000000000009,27.07500000000012,12.07499999999997
dyna_q_plus,t527-final-r11,observation-corruption-0.05,2,2,[],True,True,0.29999999999999694,0.774999999999991,-0.4749999999999941
dyna_q_plus,t527-final-r12,action-failure-0.15,2,2,[],True,True,3.1499999999999724,2.374999999999978,0.7749999999999946
dyna_q_plus,t527-final-r12,action-remap-cycle-clockwise,2,2,[],True,True,51.85000000000005,26.875000000000156,24.97499999999989
dyna_q_plus,t527-final-r12,action-remap-swap-right-down,2,2,[],True,True,38.80000000000009,25.125000000000135,13.674999999999955
dyna_q_plus,t527-final-r12,observation-corruption-0.05,2,2,[],True,True,0.3750000000000009,0.07500000000000107,0.2999999999999998
ppo,t527-final-r01,action-failure-0.15,2,2,[],True,True,1.6499999999999835,1.6499999999999835,0.0
ppo,t527-final-r01,action-remap-cycle-clockwise,2,2,[],True,True,44.09999999999997,40.72500000000001,3.374999999999968
